Year,File Type,File Size,Compression,Resolution,Season,Image File,World File,Location
2012,ECW,16MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/L12C-2.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/L12C-2.eww,"POLYGON ((-97.151465264502 49.808691467534, -97.15163647925 49.804196632712, -97.158581405765 49.804307223297, -97.158410833441 49.808802075603, -97.151465264502 49.808691467534))"
2012,ECW,15MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/K11C-4.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/K11C-4.eww,"POLYGON ((-97.17874160755 49.822616093007, -97.178910379812 49.818121200414, -97.185857404828 49.818230178679, -97.18568927553 49.822725088503, -97.17874160755 49.822616093007))"
2012,ECW,11MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/J6C-4.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/J6C-4.eww,"POLYGON ((-97.317078785233 49.842697763738, -97.317234852645 49.838202554456, -97.32129388959 49.838261423547, -97.321138198199 49.84275664214, -97.317078785233 49.842697763738))"
2012,ECW,15MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/G12D-4.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/G12D-4.eww,"POLYGON ((-97.134981548566 49.875890524717, -97.135154700379 49.871395784233, -97.142109193533 49.871507471367, -97.141936686541 49.876002229516, -97.134981548566 49.875890524717))"
2012,ECW,21MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/E7C-2.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/E7C-2.eww,"POLYGON ((-97.286571901954 49.918707537641, -97.286731225253 49.914212458626, -97.293692448162 49.914315117193, -97.293533771446 49.918810212452, -97.286571901954 49.918707537641))"
2012,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/C14D-2.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/C14D-2.eww,"POLYGON ((-97.076303879424 49.951389411735, -97.07648295449 49.94689488247, -97.083448076506 49.947010214813, -97.083269648908 49.951504762327, -97.076303879424 49.951389411735))"
2012,ECW,21MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/F7B-1.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/F7B-1.eww,"POLYGON ((-97.27992997205 49.909614315788, -97.280089861337 49.905119245322, -97.28704975146 49.905222288965, -97.286890508417 49.909717375733, -97.27992997205 49.909614315788))"
2012,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/K16A-4.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/K16A-4.eww,"POLYGON ((-97.03943398474 49.829337830778, -97.039615704682 49.824843304607, -97.046563135659 49.824960642883, -97.046382058716 49.829455187606, -97.03943398474 49.829337830778))"
2012,ECW,9MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/C16D-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/C16D-3.eww,"POLYGON ((-97.028604194301 49.944187393229, -97.028710023659 49.941595019469, -97.034876089271 49.941699687688, -97.034770590419 49.944292071001, -97.028604194301 49.944187393229))"
2012,ECW,17MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/N16A-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/N16A-3.eww,"POLYGON ((-97.049461205332 49.7759845658, -97.049623612655 49.7719394308, -97.055636345503 49.772040519242, -97.055474438088 49.776085668623, -97.049461205332 49.7759845658))"
2012,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/K9C-2.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/K9C-2.eww,"POLYGON ((-97.234160457312 49.827971425584, -97.234324126648 49.823476400877, -97.241272128477 49.823582065986, -97.241109102376 49.828077107402, -97.234160457312 49.827971425584))"
2012,ECW,17MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/E14A-2.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/E14A-2.eww,"POLYGON ((-97.091301472299 49.924652241148, -97.091478983811 49.920157651656, -97.098440314035 49.92027203929, -97.098263449045 49.924766646879, -97.091301472299 49.924652241148))"
2012,ECW,17MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/K14A-2.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/K14A-2.eww,"POLYGON ((-97.094843223094 49.834759697936, -97.095019843053 49.830265029146, -97.10196827695 49.830379055536, -97.101792300269 49.834873742357, -97.094843223094 49.834759697936))"
2012,ECW,9MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/N10C-4.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/N10C-4.eww,"POLYGON ((-97.208524180798 49.769109785584, -97.20868988044 49.764614777512, -97.211494817107 49.764658121397, -97.211329376589 49.769153136321, -97.208524180798 49.769109785584))"
